Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,21.350000,22.350000,21.059999,22.180000,20.829512,16614282
2020-06-09,22.049999,22.049999,21.030001,21.459999,20.153347,7857526
2020-06-10,21.420000,21.440001,20.219999,20.980000,19.702574,14922042
2020-06-11,20.420000,20.520000,20.000000,20.240000,19.007629,9944534
2020-06-12,20.930000,20.930000,20.000000,20.370001,19.129717,4042144
2020-06-15,20.059999,20.290001,19.650000,19.719999,18.519293,6896447
2020-06-16,19.950001,20.299999,19.379999,20.070000,18.847984,7278498
2020-06-17,20.309999,20.309999,19.030001,19.129999,17.965218,16380155
2020-06-18,19.129999,19.290001,18.549999,18.690001,17.552010,9843441
2020-06-19,19.010000,19.170000,18.709999,19.090000,17.927652,26937830
2020-06-22,19.160000,19.299999,18.990000,19.139999,17.974607,4446268
2020-06-23,19.100000,19.889999,19.049999,19.709999,18.509903,7023070
2020-06-24,19.790001,20.000000,19.549999,19.910000,18.697727,3548472
2020-06-25,19.870001,19.990000,19.200001,19.260000,18.087301,8831997
2020-06-26,19.059999,19.250000,18.250000,18.379999,17.260881,18049396
2020-06-29,18.459999,18.750000,18.190001,18.250000,17.138798,7879927
2020-06-30,18.340000,18.570000,18.129999,18.250000,17.138798,20230671
2020-07-01,18.219999,18.309999,17.879999,18.020000,16.922802,10542937
2020-07-02,18.150000,18.540001,17.959999,18.070000,16.969757,4395420
2020-07-03,18.190001,18.500000,18.120001,18.450001,17.326620,809174
2020-07-06,18.549999,18.549999,18.030001,18.280001,17.166973,3778457
2020-07-07,18.330000,18.330000,17.650000,18.010000,16.913410,9867268
2020-07-08,18.100000,18.490000,17.830000,18.200001,17.091843,10013428
2020-07-09,18.250000,18.250000,17.910000,18.000000,16.904020,6202430
2020-07-10,18.049999,18.170000,17.959999,18.070000,16.969757,4205379
2020-07-13,18.090000,18.370001,17.900000,17.990000,16.894630,7454842
2020-07-14,17.930000,17.990000,17.500000,17.850000,16.763151,4605603
2020-07-15,17.870001,17.990000,17.150000,17.299999,16.246639,9255429
2020-07-16,17.260000,17.260000,16.900000,17.120001,16.077604,8837600
2020-07-17,17.100000,17.530001,17.100000,17.400000,16.340553,6387207
2020-07-20,17.590000,17.590000,16.900000,16.959999,15.927342,5152140
2020-07-21,16.910000,17.100000,16.480000,16.700001,15.683176,25801257
2020-07-22,16.719999,17.590000,16.719999,17.400000,16.340553,13460784
