Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,294.429993,297.320007,293.880005,297.170013,292.149231,5559700
2020-06-09,294.489990,296.390015,293.630005,295.059998,290.074890,4686400
2020-06-10,295.529999,296.390015,292.589996,293.220001,288.265961,5602600
2020-06-11,286.359985,286.920013,275.799988,276.320007,271.651489,7748200
2020-06-12,283.350006,284.149994,274.500000,279.649994,274.925201,6232200
2020-06-15,273.910004,283.350006,272.769989,282.200012,277.432159,4431400
2020-06-16,290.049988,290.200012,282.829987,287.720001,282.858887,5295000
2020-06-17,288.730011,289.019989,285.880005,286.399994,281.561157,2662800
2020-06-18,284.970001,287.119995,284.549988,286.660004,281.816803,2756300
2020-06-19,290.040009,290.269989,283.670013,284.970001,280.155365,3479500
2020-06-22,284.350006,287.190002,283.260010,286.859985,282.013397,2518000
2020-06-23,289.510010,290.429993,287.760010,288.160004,283.291473,2503600
2020-06-24,286.079987,286.700012,278.970001,280.790009,276.045990,4532300
2020-06-25,280.260010,284.100006,278.220001,283.760010,278.965820,3897400
2020-06-26,282.720001,282.920013,276.519989,277.109985,272.428101,4479000
2020-06-29,276.890015,279.720001,274.720001,279.700012,276.403748,3464600
2020-06-30,279.290009,284.950012,279.149994,283.429993,280.089752,5215700
2020-07-01,284.369995,286.510010,283.950012,285.369995,282.006897,3712600
2020-07-02,288.760010,290.049988,286.179993,286.809998,283.429932,3661100
2020-07-06,290.670013,291.579987,289.899994,291.260010,287.827515,3573800
2020-07-07,289.670013,291.679993,287.890015,288.239990,284.843079,3420300
2020-07-08,289.000000,290.549988,287.290009,290.380005,286.957886,2434200
2020-07-09,291.019989,291.299988,285.410004,288.899994,285.495300,3164600
2020-07-10,288.720001,292.010010,287.339996,291.799988,288.361115,2712400
2020-07-13,294.100006,296.450012,288.609985,289.160004,285.752228,3657900
2020-07-14,287.790009,293.320007,286.630005,293.029999,289.576660,4053100
2020-07-15,296.190002,296.750000,293.350006,295.630005,292.145996,6601400
2020-07-16,293.799988,295.109985,293.149994,294.769989,291.296112,3082900
2020-07-17,295.720001,296.350006,293.750000,295.549988,292.066956,2246000
2020-07-20,295.329987,298.679993,294.600006,298.010010,294.497955,2539900
2020-07-21,299.859985,300.350006,297.660004,298.630005,295.110657,3305500
2020-07-22,298.220001,300.559998,298.109985,300.329987,296.790588,4121100
2020-07-23,299.929993,300.619995,295.380005,296.739990,293.242920,3487100
2020-07-24,294.859985,295.809998,293.299988,294.820007,291.345581,2851000
2020-07-27,295.480011,297.119995,294.739990,296.970001,293.470215,2253300
2020-07-28,296.179993,297.329987,294.790009,295.130005,291.651917,3135600
2020-07-29,296.000000,299.260010,295.899994,298.700012,295.179840,2370800
2020-07-30,295.739990,298.059998,293.670013,297.609985,294.102631,2951700
2020-07-31,299.450012,300.100006,295.239990,300.100006,296.563354,4460300
2020-08-03,301.649994,302.820007,301.130005,301.989990,298.431030,3767700
2020-08-04,301.220001,303.260010,301.220001,303.260010,299.686066,2129200
2020-08-05,304.609985,305.399994,304.309998,305.149994,301.553802,2615100
2020-08-06,304.579987,307.290009,304.250000,307.200012,303.579651,4088200
2020-08-07,306.230011,307.600006,305.320007,307.359985,303.737732,3319600
2020-08-10,307.880005,308.500000,305.920013,308.339996,304.706207,2118200
2020-08-11,309.519989,310.119995,305.070007,305.850006,302.245575,3571200
2020-08-12,308.250000,310.809998,308.200012,310.040009,306.386200,2947400
2020-08-13,309.299988,310.779999,308.559998,309.510010,305.862427,4074200
2020-08-14,309.149994,310.019989,308.339996,309.510010,305.862427,2097600
2020-08-17,310.440002,310.869995,310.089996,310.510010,306.850647,2183400
2020-08-18,310.929993,311.549988,309.279999,311.160004,307.492981,2415800
2020-08-19,311.549988,312.279999,309.309998,309.839996,306.188507,2498300
2020-08-20,308.109985,311.269989,308.019989,310.820007,307.156982,2409300
2020-08-21,310.480011,312.100006,310.170013,311.929993,308.253906,2316200
2020-08-24,314.359985,315.170013,313.369995,315.100006,311.386566,2349600
2020-08-25,315.690002,316.260010,314.500000,316.200012,312.473602,2890800
2020-08-26,316.750000,319.630005,316.250000,319.429993,315.665497,2606000
2020-08-27,320.220001,321.500000,318.470001,320.070007,316.297974,2295900
2020-08-28,321.140015,322.279999,319.950012,322.149994,318.353455,3538700
2020-08-31,321.980011,322.829987,320.799988,321.019989,317.236786,5068000
2020-09-01,321.809998,324.100006,320.940002,324.019989,320.201447,3008000
2020-09-02,325.940002,329.670013,324.779999,328.739990,324.865784,5273100
2020-09-03,327.010010,327.510010,314.809998,317.359985,313.619873,6892000
2020-09-04,317.769989,319.600006,306.899994,314.820007,311.109863,5133900
2020-09-08,309.350006,310.589996,305.850006,306.170013,302.561798,4278300
2020-09-09,310.149994,314.660004,309.290009,312.209991,308.530579,3339800
2020-09-10,314.049988,314.709991,305.820007,306.750000,303.134949,3589000
2020-09-11,308.549988,309.589996,304.170013,306.980011,303.362274,3690100
2020-09-14,310.079987,312.750000,309.609985,310.970001,307.305206,3056100
2020-09-15,313.470001,314.260010,311.519989,312.570007,308.886353,2570900
2020-09-16,313.809998,315.179993,311.040009,311.309998,307.641205,2313400
2020-09-17,306.480011,310.269989,305.959991,308.589996,304.953278,2848300
2020-09-18,309.440002,309.480011,302.549988,305.000000,301.405579,3420800
2020-09-21,300.470001,301.750000,296.829987,301.690002,298.134583,4536800
2020-09-22,303.109985,305.239990,300.670013,304.739990,301.148621,2741500
2020-09-23,305.279999,305.549988,297.170013,297.679993,294.171814,2755800
2020-09-24,296.309998,301.459991,295.040009,298.500000,294.982178,3130700
2020-09-25,297.579987,304.040009,296.720001,303.279999,299.705872,2683800
2020-09-28,307.420013,309.019989,306.429993,308.359985,304.725952,2437900
2020-09-29,306.839996,307.510010,304.649994,305.299988,302.988220,2303900
2020-09-30,306.040009,310.750000,305.850006,307.649994,305.320435,4304500
2020-10-01,310.160004,311.109985,307.760010,309.600006,307.255676,3005700
2020-10-02,304.720001,308.579987,304.209991,306.720001,304.397461,3125100
2020-10-05,308.690002,312.290009,308.690002,312.079987,309.716888,2364500
2020-10-06,312.250000,314.320007,307.179993,307.720001,305.389893,3389800
2020-10-07,310.609985,313.809998,310.600006,313.000000,310.629913,1707800
2020-10-08,314.959991,315.850006,314.049988,315.769989,313.378937,1731700
2020-10-09,317.470001,319.100006,316.850006,318.579987,316.167664,2794100
2020-10-12,321.140015,325.220001,320.660004,323.720001,321.268768,2194300
2020-10-13,323.640015,323.730011,320.709991,321.649994,319.214417,2229700
2020-10-14,322.220001,323.299988,318.929993,319.640015,317.219666,1902100
2020-10-15,315.709991,319.700012,315.230011,319.260010,316.842560,2481700
2020-10-16,320.649994,322.209991,318.899994,318.989990,316.574585,1669600
2020-10-19,320.299988,320.890015,313.329987,314.170013,311.791107,2229600
2020-10-20,315.480011,318.670013,314.779999,315.410004,313.021698,3066600
2020-10-21,315.410004,317.519989,314.589996,314.839996,312.455994,2607700
2020-10-22,315.059998,317.160004,312.989990,316.570007,314.172882,2362400
2020-10-23,317.839996,317.839996,315.239990,317.649994,315.244720,1429300
2020-10-26,314.309998,315.079987,308.359985,311.799988,309.439026,3335800
2020-10-27,312.179993,312.470001,310.559998,310.769989,308.416809,2196100
2020-10-28,305.130005,305.739990,299.619995,300.070007,297.797852,5650500
2020-10-29,300.320007,306.250000,298.690002,303.230011,300.933899,5365200
2020-10-30,301.559998,302.859985,296.369995,299.820007,297.549744,5892100
2020-11-02,303.369995,305.309998,300.630005,303.309998,301.013306,4080400
2020-11-03,306.570007,310.739990,306.089996,308.660004,306.322784,3378300
2020-11-04,313.190002,319.649994,312.000000,315.609985,313.220154,5750200
2020-11-05,320.940002,323.549988,320.519989,321.790009,319.353363,3950300
2020-11-06,321.440002,322.920013,319.429993,321.750000,319.313690,3640600
2020-11-09,334.359985,335.200012,325.279999,325.760010,323.293304,8097300
2020-11-10,324.769989,326.299988,322.059998,325.339996,322.876495,4120800
2020-11-11,327.420013,328.500000,326.170013,327.630005,325.149170,2773500
2020-11-12,326.739990,327.440002,322.730011,324.600006,322.142120,2532700
2020-11-13,326.450012,329.730011,325.890015,329.010010,326.518707,1996100
2020-11-16,331.649994,333.119995,330.410004,333.000000,330.478516,3018800
2020-11-17,330.730011,332.500000,329.250000,331.339996,328.831055,3052100
2020-11-18,331.630005,332.140015,327.290009,327.320007,324.841522,2647800
2020-11-19,326.760010,329.089996,325.410004,328.690002,326.201141,2962200
2020-11-20,328.410004,328.660004,326.399994,326.489990,324.017761,3516800
2020-11-23,328.279999,329.600006,326.059998,328.420013,325.933197,2222600
2020-11-24,331.019989,334.250000,330.100006,333.739990,331.212860,2659700
